tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,"preciptype_freezingrain,snow,ice",preciptype_rain,"preciptype_rain,freezingrain","preciptype_rain,freezingrain,ice","preciptype_rain,freezingrain,snow","preciptype_rain,freezingrain,snow,ice","preciptype_rain,snow","preciptype_rain,snow,ice",preciptype_snow,preciptype_unknown
8.0,10.4,12.9,5.8,9.5,9.2,92.2,0.0,0,0.0,0.0,0.0,39.9,29.3,43.3,1022.8,91.8,9.3,42.6,3.6,1,10.0,2023-04-05T06:33:21,2023-04-05T19:24:53,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.9,0.2,1.0,-9.8,-3.4,-11.7,42.0,0.23,100,4.17,0.0,0.2,67.0,29.3,301.7,1020.3,47.8,15.8,219.7,19.0,8,10.0,2022-03-29T06:44:24,2022-03-29T19:17:47,0.91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13.9,18.2,23.3,13.9,18.2,12.8,71.8,0.0,0,0.0,0.0,0.0,54.2,20.2,68.5,1015.7,66.1,16.0,298.1,25.7,10,10.0,2024-05-19T05:35:01,2024-05-19T20:10:44,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.7,29.5,38.8,25.7,32.6,22.8,68.5,0.23,100,4.17,0.0,0.0,79.6,19.6,241.8,1015.8,37.6,15.9,217.6,18.7,10,60.0,2022-08-08T05:59:30,2022-08-08T20:03:15,0.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,20.2,26.0,15.0,20.2,8.2,49.9,0.0,0,0.0,0.0,0.0,44.6,16.2,300.8,1008.6,26.0,16.0,295.3,25.6,9,10.0,2023-05-08T05:46:30,2023-05-08T19:59:17,0.61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,7.1,9.3,1.2,6.0,-1.6,54.1,0.0,0,0.0,0.0,0.2,16.2,14.8,220.4,1021.2,82.6,16.0,56.4,4.9,3,10.0,2021-12-10T07:09:26,2021-12-10T16:28:31,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19.4,22.8,27.2,19.4,22.8,15.1,62.9,0.0,0,0.0,0.0,0.0,64.8,22.4,142.1,1018.7,1.2,16.0,320.7,27.7,10,10.0,2022-06-15T05:24:21,2022-06-15T20:28:59,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23.9,28.2,37.4,23.9,30.6,22.0,69.8,0.416,100,12.5,0.0,0.0,93.7,27.2,254.3,1014.5,39.3,15.6,208.6,18.0,9,60.0,2023-07-27T05:47:52,2023-07-27T20:16:48,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.1,-1.1,0.2,-11.7,-5.3,-11.1,47.3,0.0,0,0.0,0.0,0.0,59.4,22.1,239.7,1029.8,0.4,16.0,174.6,14.8,7,10.0,2022-02-20T06:43:07,2022-02-20T17:36:58,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2,2.8,3.9,-4.0,0.1,-3.1,66.0,0.064,100,12.5,0.0,0.3,53.6,21.8,252.8,1032.8,91.1,15.8,31.1,2.8,1,10.0,2024-01-23T07:13:54,2024-01-23T17:02:10,0.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
